table_name,column_name,lngdsc,comtyp,length,null_flg,pk_flg,ident_flg,column_comment
invdtl,inv_attr_str13,Inventory Attribute Text 13,S,100,True,False,False,Inventory Attribute Text 13.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str14,Inventory Attribute Text 14,S,100,True,False,False,Inventory Attribute Text 14.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str15,Inventory Attribute Text 15,S,100,True,False,False,Inventory Attribute Text 15.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str16,Inventory Attribute Text 16,S,100,True,False,False,Inventory Attribute Text 16.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str17,Inventory Attribute Text 17,S,100,True,False,False,Inventory Attribute Text 17.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_str18,Inventory Attribute Text 18,S,100,True,False,False,Inventory Attribute Text 18.This field can be enabled to track and use custom text data during standard inventory-related operations.
invdtl,inv_attr_int1,Inventory Attribute Number 1,I,4,True,False,False,Inventory Attribute Number 1.This field can be enabled to track and use custom number data during standard inventory-related operations.
invdtl,inv_attr_int2,Inventory Attribute Number 2,I,4,True,False,False,Inventory Attribute Number 2.This field can be enabled to track and use custom number data during standard inventory-related operations.
invdtl,inv_attr_int3,Inventory Attribute Number 3,I,4,True,False,False,Inventory Attribute Number 3.This field can be enabled to track and use custom number data during standard inventory-related operations.
invdtl,inv_attr_int4,Inventory Attribute Number 4,I,4,True,False,False,Inventory Attribute Number 4.This field can be enabled to track and use custom number data during standard inventory-related operations.
invdtl,inv_attr_int5,Inventory Attribute Number 5,I,4,True,False,False,Inventory Attribute Number 5.This field can be enabled to track and use custom number data during standard inventory-related operations.
invdtl,inv_attr_flt1,Unit Cost,F,8,True,False,False,Inventory Attribute Decimal 1.This field can be enabled to track and use custom decimal data during standard inventory-related operations.
invdtl,inv_attr_flt2,Inventory Attribute Decimal 2,F,8,True,False,False,Inventory Attribute Decimal 2.This field can be enabled to track and use custom decimal data during standard inventory-related operations.
invdtl,inv_attr_flt3,Inventory Attribute Decimal 3,F,8,True,False,False,Inventory Attribute Decimal 3.This field can be enabled to track and use custom decimal data during standard inventory-related operations.
invdtl,inv_attr_dte1,Inventory Attribute Date 1,D,14,True,False,False,Inventory Attribute Date 1.This field can be enabled to track and use custom date data during standard inventory-related operations.
invdtl,inv_attr_dte2,Inventory Attribute Date 2,D,14,True,False,False,Inventory Attribute Date 2.This field can be enabled to track and use custom date data during standard inventory-related operations.
invdtl,cstms_cnsgnmnt_id,Customs Consignment ID,S,18,True,False,False,Customs Consignment ID uniquely identify a consignment of bonded inventory on a per receipt basis.
invdtl,rttn_id,Rotation ID,S,10,True,False,False,Rotation ID used for tracking bonded inventory.
invdtl,cstms_bond_flg,Under Bond,I,4,False,False,False,Flag used to indicate whether or not the inventory is bonded. '1' means under bond and '0' means not under bond.
invdtl,dty_stmp_flg,Excise Duty Stamp,I,4,False,False,False,Flag used to indicate whether or not the inventory has a duty stamp applied. '1' means yes and '0' means no.
invdtl,u_version,Version,I,4,True,False,False,The version number
invdtl,ins_dt,Inserted Date,D,14,True,False,False,The date the row was inserted
invdtl,last_upd_dt,Last Updated Date,D,14,True,False,False,The date the row was last updated
invdtl,ins_user_id,Inserted User,S,40,True,False,False,The user id of the person who created the row
invdtl,last_upd_user_id,Last Updated User,S,40,True,False,False,The user id of the person who updated the row most recently
invdtl,asnflg,ASN,I,4,True,False,False,This flag is set to 1 when inventory is downloaded from the HOST as an ASN
invdtl,cstms_typ,Customs Type,S,8,True,False,False,Customs Type. This field indicates what customs type does this inventory received from.
invdtl,cstms_crncy,Customs Currency,S,20,True,False,False,The currency customs needs paid in.
invdtl,dflt_orgcod,Default Origin Code,S,3,True,False,False,Country where the goods were manufactured.
invdtl,cstms_vat_cod,Customs VAT Code,S,10,True,False,False,Customs Value Added Tax Code which can have a value of 'S' for Standard VAT or a 'Z' for Zero Vat (VAT not required).
invdtl,dty_stmp_trk_flg,Duty Stamp Tracked,I,4,False,False,False,This must be enabled ('1') for all excise products over 30% alcohol by volume in containers 35cl or larger.
invdtl,cstms_cst,Customs Cost,I,4,True,False,False,The customs cost of the item used by Duty Management
invdtl,cstms_cmmdty_cod,Customs Commodity Code,S,150,True,False,False,Customs commodity code used by Duty Management to determine the type of duty to be paid. No validation in WM.
invlod,lodnum,LPN,S,30,False,True,False,"Uniquely identifies invlod record.  In many systems, this value is the same as the label on a pallet."
invlod,wh_id,Warehouse ID,S,32,False,False,False,Warehouse ID - the warehouse in which the inventory is to be received.
invlod,stoloc,Location,S,20,False,False,False,Indicates the storage location for this pallet.
invlod,lodwgt,Load Weight,F,8,True,False,False,"In systems where scales are available, this field may be used to store the physical weight of the pallet that this entry represents."
invlod,prmflg,Permanent Load/Sub,I,4,True,False,False,"Set if this is a 'permanent' subload.  Permanent subloads are used throughout the system when it is necessary to provide a container to attach details to.  Additionally, in systems utilizing totes, they are represented as 'perm subloads'"
invlod,unkflg,Unknown,I,4,True,False,False,"This will be set to 1 if this invsub record represents a physical case in the system.  In this case, the subnum will be set to the external labeling on the physical case."
invlod,mvlflg,Movable Load,I,4,True,False,False,"This is used to indicate if this subload entry may be moved.  In the case where permanent subloads are used to provide places to attach inventory, it is seldom desired that those permanent subs be allowed to move."
invlod,adddte,Date Added,D,14,False,False,False,The date/time this load was added to the system.
invlod,lstmov,Last Move Date,D,14,True,False,False,The last date/time this load was moved.
invlod,lstdte,Last Activity Date/Time,D,14,True,False,False,The last date/time an activity happened against this load.
invlod,lstcod,Last Activity Code,S,20,True,False,False,Last activity code on this load
invlod,lst_usr_id,Last User,S,40,True,False,False,Last user which performed an activity on this load.
invlod,loducc,LPN UCC,S,20,True,False,False,"If UCC128 processing is installed and this load receives a UCC128 shipping label, then this field will be filled in with the value of that label."
invlod,uccdte,UCC Date,D,14,True,False,False,The date/time the UCC128 shipping label was applied.
invlod,palpos,Pallet Position,S,20,True,False,False,Indicates what position the load's pallet occupies.
